v4_1,Data Marking,calendar-years,Time,nuts,geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,quarterly-index-and-growth-rate,GrowthRate
,.,2012,2012,UK0,England,A,A,cvm,Chained Volume Measure,gra,Annual growth rate
95.83513342,,2012,2012,UK0,England,A,A,cvm,Chained Volume Measure,aix,Annual index
91.07653684,,2012,2012,UK0,England,A--T,A--T,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UK0,England,A--T,A--T,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UK0,England,B,B,cvm,Chained Volume Measure,gra,Annual growth rate
110.2758655,,2012,2012,UK0,England,B,B,cvm,Chained Volume Measure,aix,Annual index
96.97237175,,2012,2012,UK0,England,B--E,B--E,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UK0,England,B--E,B--E,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UK0,England,C,C,cvm,Chained Volume Measure,gra,Annual growth rate
98.07543778,,2012,2012,UK0,England,C,C,cvm,Chained Volume Measure,aix,Annual index
101.9860339,,2012,2012,UK0,England,D,D,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UK0,England,D,D,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UK0,England,E,E,cvm,Chained Volume Measure,gra,Annual growth rate
83.9779665,,2012,2012,UK0,England,E,E,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UK0,England,F,F,cvm,Chained Volume Measure,gra,Annual growth rate
82.60452395,,2012,2012,UK0,England,F,F,cvm,Chained Volume Measure,aix,Annual index
83.40296065,,2012,2012,UK0,England,G,G,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UK0,England,G,G,cvm,Chained Volume Measure,gra,Annual growth rate
90.8176397,,2012,2012,UK0,England,G--T,G--T,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UK0,England,G--T,G--T,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UK0,England,H,H,cvm,Chained Volume Measure,gra,Annual growth rate
94.63120499,,2012,2012,UK0,England,H,H,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UK0,England,I,I,cvm,Chained Volume Measure,gra,Annual growth rate
94.73425793,,2012,2012,UK0,England,I,I,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UK0,England,J,J,cvm,Chained Volume Measure,gra,Annual growth rate
86.89671225,,2012,2012,UK0,England,J,J,cvm,Chained Volume Measure,aix,Annual index
102.2341226,,2012,2012,UK0,England,K,K,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UK0,England,K,K,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UK0,England,L,L,cvm,Chained Volume Measure,gra,Annual growth rate
90.39118913,,2012,2012,UK0,England,L,L,cvm,Chained Volume Measure,aix,Annual index
82.59586055,,2012,2012,UK0,England,M,M,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UK0,England,M,M,cvm,Chained Volume Measure,gra,Annual growth rate
79.78562677,,2012,2012,UK0,England,N,N,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UK0,England,N,N,cvm,Chained Volume Measure,gra,Annual growth rate
109.9776092,,2012,2012,UK0,England,O,O,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UK0,England,O,O,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UK0,England,P,P,cvm,Chained Volume Measure,gra,Annual growth rate
97.20452087,,2012,2012,UK0,England,P,P,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UK0,England,Q,Q,cvm,Chained Volume Measure,gra,Annual growth rate
92.53366409,,2012,2012,UK0,England,Q,Q,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UK0,England,R,R,cvm,Chained Volume Measure,gra,Annual growth rate
95.13979577,,2012,2012,UK0,England,R,R,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UK0,England,S,S,cvm,Chained Volume Measure,gra,Annual growth rate
91.69957129,,2012,2012,UK0,England,S,S,cvm,Chained Volume Measure,aix,Annual index
84.58860385,,2012,2012,UK0,England,T,T,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UK0,England,T,T,cvm,Chained Volume Measure,gra,Annual growth rate
91.02041215,,2012,2012,UKC,North East,A,A,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKC,North East,A,A,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKC,North East,A--T,A--T,cvm,Chained Volume Measure,gra,Annual growth rate
97.91617948,,2012,2012,UKC,North East,A--T,A--T,cvm,Chained Volume Measure,aix,Annual index
161.5459159,,2012,2012,UKC,North East,B,B,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKC,North East,B,B,cvm,Chained Volume Measure,gra,Annual growth rate
102.8000515,,2012,2012,UKC,North East,B--E,B--E,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKC,North East,B--E,B--E,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKC,North East,C,C,cvm,Chained Volume Measure,gra,Annual growth rate
102.7407405,,2012,2012,UKC,North East,C,C,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKC,North East,D,D,cvm,Chained Volume Measure,gra,Annual growth rate
110.3027974,,2012,2012,UKC,North East,D,D,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKC,North East,E,E,cvm,Chained Volume Measure,gra,Annual growth rate
87.55134605,,2012,2012,UKC,North East,E,E,cvm,Chained Volume Measure,aix,Annual index
90.31822725,,2012,2012,UKC,North East,F,F,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKC,North East,F,F,cvm,Chained Volume Measure,gra,Annual growth rate
87.36740286,,2012,2012,UKC,North East,G,G,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKC,North East,G,G,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKC,North East,G--T,G--T,cvm,Chained Volume Measure,gra,Annual growth rate
97.39943244,,2012,2012,UKC,North East,G--T,G--T,cvm,Chained Volume Measure,aix,Annual index
97.20164434,,2012,2012,UKC,North East,H,H,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKC,North East,H,H,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKC,North East,I,I,cvm,Chained Volume Measure,gra,Annual growth rate
89.53131139,,2012,2012,UKC,North East,I,I,cvm,Chained Volume Measure,aix,Annual index
98.40035969,,2012,2012,UKC,North East,J,J,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKC,North East,J,J,cvm,Chained Volume Measure,gra,Annual growth rate
110.3984358,,2012,2012,UKC,North East,K,K,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKC,North East,K,K,cvm,Chained Volume Measure,gra,Annual growth rate
95.32348107,,2012,2012,UKC,North East,L,L,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKC,North East,L,L,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKC,North East,M,M,cvm,Chained Volume Measure,gra,Annual growth rate
91.72026939,,2012,2012,UKC,North East,M,M,cvm,Chained Volume Measure,aix,Annual index
85.80793307,,2012,2012,UKC,North East,N,N,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKC,North East,N,N,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKC,North East,O,O,cvm,Chained Volume Measure,gra,Annual growth rate
116.3264125,,2012,2012,UKC,North East,O,O,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKC,North East,P,P,cvm,Chained Volume Measure,gra,Annual growth rate
99.51376814,,2012,2012,UKC,North East,P,P,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKC,North East,Q,Q,cvm,Chained Volume Measure,gra,Annual growth rate
101.9084837,,2012,2012,UKC,North East,Q,Q,cvm,Chained Volume Measure,aix,Annual index
103.4824638,,2012,2012,UKC,North East,R,R,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKC,North East,R,R,cvm,Chained Volume Measure,gra,Annual growth rate
91.11061596,,2012,2012,UKC,North East,S,S,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKC,North East,S,S,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKC,North East,T,T,cvm,Chained Volume Measure,gra,Annual growth rate
56.20392645,,2012,2012,UKC,North East,T,T,cvm,Chained Volume Measure,aix,Annual index
95.24780282,,2012,2012,UKD,North West,A,A,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKD,North West,A,A,cvm,Chained Volume Measure,gra,Annual growth rate
92.31579328,,2012,2012,UKD,North West,A--T,A--T,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKD,North West,A--T,A--T,cvm,Chained Volume Measure,gra,Annual growth rate
89.69697958,,2012,2012,UKD,North West,B,B,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKD,North West,B,B,cvm,Chained Volume Measure,gra,Annual growth rate
93.3626648,,2012,2012,UKD,North West,B--E,B--E,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKD,North West,B--E,B--E,cvm,Chained Volume Measure,gra,Annual growth rate
94.01988338,,2012,2012,UKD,North West,C,C,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKD,North West,C,C,cvm,Chained Volume Measure,gra,Annual growth rate
117.7446586,,2012,2012,UKD,North West,D,D,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKD,North West,D,D,cvm,Chained Volume Measure,gra,Annual growth rate
69.49158291,,2012,2012,UKD,North West,E,E,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKD,North West,E,E,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKD,North West,F,F,cvm,Chained Volume Measure,gra,Annual growth rate
86.53738338,,2012,2012,UKD,North West,F,F,cvm,Chained Volume Measure,aix,Annual index
86.23564443,,2012,2012,UKD,North West,G,G,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKD,North West,G,G,cvm,Chained Volume Measure,gra,Annual growth rate
92.55062699,,2012,2012,UKD,North West,G--T,G--T,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKD,North West,G--T,G--T,cvm,Chained Volume Measure,gra,Annual growth rate
90.64220937,,2012,2012,UKD,North West,H,H,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKD,North West,H,H,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKD,North West,I,I,cvm,Chained Volume Measure,gra,Annual growth rate
96.17879137,,2012,2012,UKD,North West,I,I,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKD,North West,J,J,cvm,Chained Volume Measure,gra,Annual growth rate
89.30675048,,2012,2012,UKD,North West,J,J,cvm,Chained Volume Measure,aix,Annual index
103.6353244,,2012,2012,UKD,North West,K,K,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKD,North West,K,K,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKD,North West,L,L,cvm,Chained Volume Measure,gra,Annual growth rate
95.03097116,,2012,2012,UKD,North West,L,L,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKD,North West,M,M,cvm,Chained Volume Measure,gra,Annual growth rate
90.20932443,,2012,2012,UKD,North West,M,M,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKD,North West,N,N,cvm,Chained Volume Measure,gra,Annual growth rate
78.2076231,,2012,2012,UKD,North West,N,N,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKD,North West,O,O,cvm,Chained Volume Measure,gra,Annual growth rate
109.64424,,2012,2012,UKD,North West,O,O,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKD,North West,P,P,cvm,Chained Volume Measure,gra,Annual growth rate
94.27769209,,2012,2012,UKD,North West,P,P,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKD,North West,Q,Q,cvm,Chained Volume Measure,gra,Annual growth rate
