v4_3,Data Marking,CV,CI+/-,calendar-years,Time,administrative-geography,Geography,sexual-orientation,SexualOrientation,unit-of-measure,UnitOfMeasure
95,,b,16,2020,2020,E12000009,South West,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2013,2013,E12000009,South West,other,Other,number,Number
,x,x,x,2013,2013,E12000009,South West,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2013,2013,E12000009,South West,gay-or-lesbian,Gay or lesbian,percentage,Percentage
17,,c,6,2014,2014,E12000009,South West,other,Other,number,Number
104,,b,15,2017,2017,E12000009,South West,dont-know-or-refuse,Don't know or refuse,number,Number
4285,,a,28,2019,2019,E12000009,South West,heterosexual-or-straight,Heterosexual or straight,number,Number
0.9,,c,0.3,2016,2016,E12000009,South West,bisexual,Bisexual,percentage,Percentage
89,,b,12,2016,2016,E12000009,South West,dont-know-or-refuse,Don't know or refuse,number,Number
2.1,,b,0.4,2020,2020,E12000009,South West,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
95.5,,a,0.5,2015,2015,E12000009,South West,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.2,,c,0.3,2016,2016,E12000009,South West,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.6,,c,0.2,2018,2018,E12000009,South West,bisexual,Bisexual,percentage,Percentage
0.4,,c,0.2,2018,2018,E12000009,South West,other,Other,percentage,Percentage
94.3,,a,0.8,2020,2020,E12000009,South West,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.9,,c,0.5,2020,2020,E12000009,South West,gay-or-lesbian,Gay or lesbian,percentage,Percentage
21,,c,7,2014,2014,E12000009,South West,bisexual,Bisexual,number,Number
39,,c,11,2016,2016,E12000009,South West,bisexual,Bisexual,number,Number
38,,c,10,2017,2017,E12000009,South West,bisexual,Bisexual,number,Number
,x,x,x,2012,2012,E12000009,South West,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
,x,x,x,2012,2012,E12000009,South West,other,Other,percentage,Percentage
71,,c,15,2017,2017,E12000009,South West,gay-or-lesbian,Gay or lesbian,number,Number
95.1,,a,0.6,2018,2018,E12000009,South West,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
113,,b,15,2019,2019,E12000009,South West,dont-know-or-refuse,Don't know or refuse,number,Number
95.5,,a,0.5,2016,2016,E12000009,South West,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.8,,c,0.2,2015,2015,E12000009,South West,bisexual,Bisexual,percentage,Percentage
0.4,,d,0.2,2019,2019,E12000009,South West,other,Other,percentage,Percentage
0.4,,c,0.2,2016,2016,E12000009,South West,other,Other,percentage,Percentage
0.4,,d,0.3,2020,2020,E12000009,South West,other,Other,percentage,Percentage
