v4_1,Data Marking,calendar-years,Time,nuts,geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,quarterly-index-and-growth-rate,GrowthRate
94.6,,2020,2020,UK0,England,A,A,cvm,Chained volume measure,aix,Annual index
-5.4,,2020,2020,UK0,England,A,A,cvm,Chained volume measure,gra,Annual growth rate
88.6,,2020,2020,UK0,England,A--T,A--T,cvm,Chained volume measure,aix,Annual index
-11.4,,2020,2020,UK0,England,A--T,A--T,cvm,Chained volume measure,gra,Annual growth rate
98.1,,2020,2020,UK0,England,B,B,cvm,Chained volume measure,aix,Annual index
-1.9,,2020,2020,UK0,England,B,B,cvm,Chained volume measure,gra,Annual growth rate
91.1,,2020,2020,UK0,England,B--E,B--E,cvm,Chained volume measure,aix,Annual index
-8.9,,2020,2020,UK0,England,B--E,B--E,cvm,Chained volume measure,gra,Annual growth rate
90.3,,2020,2020,UK0,England,C,C,cvm,Chained volume measure,aix,Annual index
-9.7,,2020,2020,UK0,England,C,C,cvm,Chained volume measure,gra,Annual growth rate
93.5,,2020,2020,UK0,England,D,D,cvm,Chained volume measure,aix,Annual index
-6.5,,2020,2020,UK0,England,D,D,cvm,Chained volume measure,gra,Annual growth rate
94.1,,2020,2020,UK0,England,E,E,cvm,Chained volume measure,aix,Annual index
-5.9,,2020,2020,UK0,England,E,E,cvm,Chained volume measure,gra,Annual growth rate
82.5,,2020,2020,UK0,England,F,F,cvm,Chained volume measure,aix,Annual index
-17.5,,2020,2020,UK0,England,F,F,cvm,Chained volume measure,gra,Annual growth rate
92,,2020,2020,UK0,England,G,G,cvm,Chained volume measure,aix,Annual index
-8,,2020,2020,UK0,England,G,G,cvm,Chained volume measure,gra,Annual growth rate
88.7,,2020,2020,UK0,England,G--T,G--T,cvm,Chained volume measure,aix,Annual index
-11.3,,2020,2020,UK0,England,G--T,G--T,cvm,Chained volume measure,gra,Annual growth rate
70.4,,2020,2020,UK0,England,H,H,cvm,Chained volume measure,aix,Annual index
-29.6,,2020,2020,UK0,England,H,H,cvm,Chained volume measure,gra,Annual growth rate
58.5,,2020,2020,UK0,England,I,I,cvm,Chained volume measure,aix,Annual index
-41.5,,2020,2020,UK0,England,I,I,cvm,Chained volume measure,gra,Annual growth rate
100.8,,2020,2020,UK0,England,J,J,cvm,Chained volume measure,aix,Annual index
0.8,,2020,2020,UK0,England,J,J,cvm,Chained volume measure,gra,Annual growth rate
96.4,,2020,2020,UK0,England,K,K,cvm,Chained volume measure,aix,Annual index
-3.6,,2020,2020,UK0,England,K,K,cvm,Chained volume measure,gra,Annual growth rate
92.7,,2020,2020,UK0,England,L,L,cvm,Chained volume measure,aix,Annual index
-7.3,,2020,2020,UK0,England,L,L,cvm,Chained volume measure,gra,Annual growth rate
90.3,,2020,2020,UK0,England,M,M,cvm,Chained volume measure,aix,Annual index
-9.7,,2020,2020,UK0,England,M,M,cvm,Chained volume measure,gra,Annual growth rate
87.2,,2020,2020,UK0,England,N,N,cvm,Chained volume measure,aix,Annual index
-12.8,,2020,2020,UK0,England,N,N,cvm,Chained volume measure,gra,Annual growth rate
98.8,,2020,2020,UK0,England,O,O,cvm,Chained volume measure,aix,Annual index
-1.2,,2020,2020,UK0,England,O,O,cvm,Chained volume measure,gra,Annual growth rate
81.1,,2020,2020,UK0,England,P,P,cvm,Chained volume measure,aix,Annual index
-18.9,,2020,2020,UK0,England,P,P,cvm,Chained volume measure,gra,Annual growth rate
83.3,,2020,2020,UK0,England,Q,Q,cvm,Chained volume measure,aix,Annual index
-16.7,,2020,2020,UK0,England,Q,Q,cvm,Chained volume measure,gra,Annual growth rate
73.4,,2020,2020,UK0,England,R,R,cvm,Chained volume measure,aix,Annual index
-26.6,,2020,2020,UK0,England,R,R,cvm,Chained volume measure,gra,Annual growth rate
83,,2020,2020,UK0,England,S,S,cvm,Chained volume measure,aix,Annual index
