v4_2,CV,CI+/-,calendar-years,Time,uk-only,Geography,age-groups,AgeGroups,sex,Sex,sexual-orientation,SexualOrientation,unit-of-measure,UnitOfMeasure
86.2,a,1.9,2020,2020,K02000001,United Kingdom,16-24,16-24,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
93.1,a,0.8,2020,2020,K02000001,United Kingdom,25-34,25-34,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
194,b,33,2020,2020,K02000001,United Kingdom,25-34,25-34,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
36,d,21,2020,2020,K02000001,United Kingdom,16-24,16-24,male,Male,other,Other,number,Number
6323,a,54,2020,2020,K02000001,United Kingdom,50-64,50-64,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
255,b,48,2020,2020,K02000001,United Kingdom,16-24,16-24,female,Female,bisexual,Bisexual,number,Number
33,c,9,2020,2020,K02000001,United Kingdom,50-64,50-64,female,Female,other,Other,number,Number
38,c,12,2020,2020,K02000001,United Kingdom,35-49,35-49,male,Male,bisexual,Bisexual,number,Number
40,c,11,2020,2020,K02000001,United Kingdom,35-49,35-49,female,Female,other,Other,number,Number
178,b,26,2020,2020,K02000001,United Kingdom,35-49,35-49,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
109,b,13,2020,2020,K02000001,United Kingdom,65+,65+,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
72,d,29,2020,2020,K02000001,United Kingdom,16-24,16-24,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
93,a,0.6,2020,2020,K02000001,United Kingdom,35-49,35-49,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
2.9,b,0.4,2020,2020,K02000001,United Kingdom,35-49,35-49,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
3,b,0.3,2020,2020,K02000001,United Kingdom,50-64,50-64,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
2.5,c,0.8,2020,2020,K02000001,United Kingdom,16-24,16-24,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
115,c,37,2020,2020,K02000001,United Kingdom,16-24,16-24,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
136,b,22,2020,2020,K02000001,United Kingdom,50-64,50-64,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
27,c,8,2020,2020,K02000001,United Kingdom,50-64,50-64,male,Male,bisexual,Bisexual,number,Number
6040,a,57,2020,2020,K02000001,United Kingdom,35-49,35-49,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
