v4_3,Data Marking,CV,CI+/-,calendar-years,Time,administrative-geography,Geography,sexual-orientation,SexualOrientation,unit-of-measure,UnitOfMeasure
95,,b,16,2020,2020,E12000009,South West,dont-know-or-refuse,Don't know or refuse,number,Number
2.1,,b,0.4,2020,2020,E12000009,South West,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
94.3,,a,0.8,2020,2020,E12000009,South West,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.9,,c,0.5,2020,2020,E12000009,South West,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.4,,d,0.3,2020,2020,E12000009,South West,other,Other,percentage,Percentage
18,,d,12,2020,2020,E12000009,South West,other,Other,number,Number
1.4,,c,0.5,2020,2020,E12000009,South West,bisexual,Bisexual,percentage,Percentage
64,,c,21,2020,2020,E12000009,South West,bisexual,Bisexual,number,Number
4301,,a,36,2020,2020,E12000009,South West,heterosexual-or-straight,Heterosexual or straight,number,Number
85,,c,23,2020,2020,E12000009,South West,gay-or-lesbian,Gay or lesbian,number,Number
93.2,,a,0.7,2020,2020,E12000002,North West,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
112,,b,21,2020,2020,E12000002,North West,gay-or-lesbian,Gay or lesbian,number,Number
5428,,a,39,2020,2020,E12000002,North West,heterosexual-or-straight,Heterosexual or straight,number,Number
21,,c,8,2020,2020,E12000002,North West,other,Other,number,Number
61,,c,20,2020,2020,E12000002,North West,bisexual,Bisexual,number,Number
0.4,,c,0.1,2020,2020,E12000002,North West,other,Other,percentage,Percentage
1.1,,c,0.4,2020,2020,E12000002,North West,bisexual,Bisexual,percentage,Percentage
199,,b,26,2020,2020,E12000002,North West,dont-know-or-refuse,Don't know or refuse,number,Number
3.4,,b,0.5,2020,2020,E12000002,North West,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1.9,,b,0.4,2020,2020,E12000002,North West,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1,,d,0.4,2020,2020,E12000006,East of England,bisexual,Bisexual,percentage,Percentage
1.8,,c,0.5,2020,2020,E12000006,East of England,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
50,,d,22,2020,2020,E12000006,East of England,bisexual,Bisexual,number,Number
67,,c,21,2020,2020,E12000006,East of England,gay-or-lesbian,Gay or lesbian,number,Number
4775,,a,40,2020,2020,E12000006,East of England,heterosexual-or-straight,Heterosexual or straight,number,Number
90,,c,23,2020,2020,E12000006,East of England,dont-know-or-refuse,Don't know or refuse,number,Number
0.4,,d,0.3,2020,2020,E12000006,East of England,other,Other,percentage,Percentage
95.5,,a,0.8,2020,2020,E12000006,East of England,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.3,,c,0.4,2020,2020,E12000006,East of England,gay-or-lesbian,Gay or lesbian,percentage,Percentage
20,,d,14,2020,2020,E12000006,East of England,other,Other,number,Number
