v4_3,Data Marking,CV,CI+/-,calendar-years,Time,administrative-geography,Geography,sexual-orientation,SexualOrientation,unit-of-measure,UnitOfMeasure
137.974,,b,21,2015,2015,E12000007,London,gay-or-lesbian,Gay or lesbian,number,Number
288.631,,a,26,2015,2015,E12000007,London,dont-know-or-refuse,Don't know or refuse,number,Number
35.607,,c,11,2016,2016,E12000007,London,other,Other,number,Number
6336.192,,a,36,2015,2015,E12000007,London,heterosexual-or-straight,Heterosexual or straight,number,Number
47.117,,c,13,2015,2015,E12000007,London,bisexual,Bisexual,number,Number
149.38,,b,23,2016,2016,E12000007,London,gay-or-lesbian,Gay or lesbian,number,Number
44.727,,c,13,2016,2016,E12000007,London,bisexual,Bisexual,number,Number
27.522,,c,7,2015,2015,E12000007,London,other,Other,number,Number
6403.17,,a,40,2016,2016,E12000007,London,heterosexual-or-straight,Heterosexual or straight,number,Number
277.616,,b,29,2016,2016,E12000007,London,dont-know-or-refuse,Don't know or refuse,number,Number
