FeatureCode,DateCode,Measurement,Units,Value
E01022106,2010,IMD rank,ordinal-position,29375
E01017546,2010,IMD rank,ordinal-position,26213
E01014665,2010,IMD rank,ordinal-position,9151
E01004013,2010,IMD rank,ordinal-position,8277
E01016063,2010,IMD rank,ordinal-position,1410
E01028808,2010,IMD rank,ordinal-position,24506
E01020825,2010,IMD rank,ordinal-position,10275
E01013182,2010,IMD rank,ordinal-position,19975
E01031392,2010,IMD rank,ordinal-position,15930
E01027325,2010,IMD rank,ordinal-position,27543
E01002732,2010,IMD rank,ordinal-position,938
E01031179,2010,IMD rank,ordinal-position,30765
E01002519,2010,IMD rank,ordinal-position,12114
E01009232,2010,IMD rank,ordinal-position,7721
E01011688,2010,IMD rank,ordinal-position,15027
E01009019,2010,IMD rank,ordinal-position,1675
E01001036,2010,IMD rank,ordinal-position,18368
E01032002,2010,IMD rank,ordinal-position,22724
E01012511,2010,IMD rank,ordinal-position,11486
E01024561,2010,IMD rank,ordinal-position,14150
E01007951,2010,IMD rank,ordinal-position,28066
E01030721,2010,IMD rank,ordinal-position,20070
E01024348,2010,IMD rank,ordinal-position,31579
E01007738,2010,IMD rank,ordinal-position,1625
E01019788,2010,IMD rank,ordinal-position,31865
E01030508,2010,IMD rank,ordinal-position,31565
E01006255,2010,IMD rank,ordinal-position,20676
E01029780,2010,IMD rank,ordinal-position,22388
E01029567,2010,IMD rank,ordinal-position,11092
E01021584,2010,IMD rank,ordinal-position,30838
E01004974,2010,IMD rank,ordinal-position,22373
E01028084,2010,IMD rank,ordinal-position,30657
E01003491,2010,IMD rank,ordinal-position,2667
E01003278,2010,IMD rank,ordinal-position,9403
E01017634,2010,IMD rank,ordinal-position,12800
E01000397,2010,IMD rank,ordinal-position,8675
E01014753,2010,IMD rank,ordinal-position,15520
E01004101,2010,IMD rank,ordinal-position,27635
E01016151,2010,IMD rank,ordinal-position,15092
E01020913,2010,IMD rank,ordinal-position,7373
E01013270,2010,IMD rank,ordinal-position,19007
E01001997,2010,IMD rank,ordinal-position,15371
E01031480,2010,IMD rank,ordinal-position,13615
