FeatureCode,DateCode,Measurement,Units,Value
E01022106,2010,IMD score,,5.66
E01017546,2010,IMD score,,8.31
E01014665,2010,IMD score,,27.95
E01004013,2010,IMD score,,29.81
E01016063,2010,IMD score,,55
E01028808,2010,IMD score,,9.64
E01020825,2010,IMD score,,25.74
E01013182,2010,IMD score,,13.35
E01031392,2010,IMD score,,17.6
E01027325,2010,IMD score,,7.21
E01002732,2010,IMD score,,58.8
E01031179,2010,IMD score,,4.29
E01002519,2010,IMD score,,22.66
E01009232,2010,IMD score,,31.07
E01011688,2010,IMD score,,18.68
E01009019,2010,IMD score,,53.1
E01001036,2010,IMD score,,14.88
E01032002,2010,IMD score,,11
E01012511,2010,IMD score,,23.66
E01024561,2010,IMD score,,19.77
E01007951,2010,IMD score,,6.8
E01030721,2010,IMD score,,13.27
E01024348,2010,IMD score,,3.34
E01007738,2010,IMD score,,53.48
E01019788,2010,IMD score,,2.93
E01030508,2010,IMD score,,3.37
E01006255,2010,IMD score,,12.76
E01029780,2010,IMD score,,11.28
E01029567,2010,IMD score,,24.31
E01021584,2010,IMD score,,4.22
E01004974,2010,IMD score,,11.29
E01028084,2010,IMD score,,4.39
E01003491,2010,IMD score,,47.53
E01003278,2010,IMD score,,27.43
E01017634,2010,IMD score,,21.62
E01000397,2010,IMD score,,28.96
E01014753,2010,IMD score,,18.08
E01004101,2010,IMD score,,7.14
E01016151,2010,IMD score,,18.61
E01020913,2010,IMD score,,31.92
E01013270,2010,IMD score,,14.2
E01001997,2010,IMD score,,18.25
E01031480,2010,IMD score,,20.51
E01013057,2010,IMD score,,5.03
E01027413,2010,IMD score,,22.14
E01008497,2010,IMD score,,5.28
E01002820,2010,IMD score,,15.02
E01031267,2010,IMD score,,4.71
E01002607,2010,IMD score,,24.02
E01009320,2010,IMD score,,19.35
E01011776,2010,IMD score,,33.49
E01009107,2010,IMD score,,57.9
E01001124,2010,IMD score,,4.39
E01025919,2010,IMD score,,15.23
E01010293,2010,IMD score,,33.59
E01024436,2010,IMD score,,14.06
E01007826,2010,IMD score,,3.55
E01019876,2010,IMD score,,17.2
E01006343,2010,IMD score,,7.21
E01018393,2010,IMD score,,11.45
E01015299,2010,IMD score,,11.16
E01029655,2010,IMD score,,13.35
E01021672,2010,IMD score,,7.78
E01019003,2010,IMD score,,15.33
