FeatureCode,DateCode,Measurement,Units,Value,Tenure
E06000021,Year ending 2022-03-31,Completions,building-completions,0,Housing Association
E06000021,2022 Q1,Completions,building-completions,0,Housing Association
E06000021,Year ending 2022-09-30,Completions,building-completions,10,Housing Association
E06000021,2022 Q3,Completions,building-completions,10,Housing Association
E06000021,Year ending 2022-06-30,Completions,building-completions,0,Housing Association
E06000021,2022 Q2,Completions,building-completions,0,Housing Association
E06000021,Year ending 2022-06-30,Completions,building-completions,0,Local Authority
E06000021,2022 Q3,Completions,building-completions,0,Local Authority
E06000021,Year ending 2022-09-30,Completions,building-completions,0,Local Authority
E06000021,2022 Q2,Completions,building-completions,0,Local Authority
E06000021,Year ending 2022-03-31,Completions,building-completions,0,Local Authority
E06000021,2022 Q1,Completions,building-completions,0,Local Authority
E06000021,2022 Q1,Completions,building-completions,60,Private Enterprise
E06000021,Year ending 2022-03-31,Completions,building-completions,310,Private Enterprise
E06000021,2022 Q2,Completions,building-completions,100,Private Enterprise
E06000021,Year ending 2022-06-30,Completions,building-completions,320,Private Enterprise
E06000021,Year ending 2022-09-30,Completions,building-completions,360,Private Enterprise
E06000021,2022 Q3,Completions,building-completions,100,Private Enterprise
E06000021,Year ending 2022-09-30,Completions,building-completions,370,All
E06000021,2022 Q3,Completions,building-completions,100,All
E06000021,2022 Q1,Completions,building-completions,60,All
E06000021,Year ending 2022-03-31,Completions,building-completions,310,All
E06000021,Year ending 2022-06-30,Completions,building-completions,320,All
E06000021,2022 Q2,Completions,building-completions,100,All
E92000001,Year ending 2022-03-31,Completions,building-completions,30870,Housing Association
E92000001,2022 Q1,Completions,building-completions,7400,Housing Association
E92000001,Year ending 2022-09-30,Completions,building-completions,31040,Housing Association
E92000001,2022 Q3,Completions,building-completions,7500,Housing Association
E92000001,Year ending 2022-06-30,Completions,building-completions,31300,Housing Association
E92000001,2022 Q2,Completions,building-completions,8200,Housing Association
E92000001,Year ending 2022-09-30,Completions,building-completions,1310,Local Authority
E92000001,2022 Q3,Completions,building-completions,290,Local Authority
E92000001,Year ending 2022-03-31,Completions,building-completions,1300,Local Authority
E92000001,2022 Q1,Completions,building-completions,240,Local Authority
E92000001,Year ending 2022-06-30,Completions,building-completions,1290,Local Authority
E92000001,2022 Q2,Completions,building-completions,280,Local Authority
E92000001,Year ending 2022-03-31,Completions,building-completions,139020,Private Enterprise
E92000001,2022 Q1,Completions,building-completions,33130,Private Enterprise
E92000001,2022 Q3,Completions,building-completions,32860,Private Enterprise
E92000001,Year ending 2022-06-30,Completions,building-completions,140930,Private Enterprise
E92000001,2022 Q2,Completions,building-completions,37760,Private Enterprise
E92000001,Year ending 2022-09-30,Completions,building-completions,140870,Private Enterprise
E92000001,2022 Q2,Completions,building-completions,46230,All
E92000001,Year ending 2022-06-30,Completions,building-completions,173520,All
E92000001,Year ending 2022-09-30,Completions,building-completions,173220,All
E92000001,2022 Q3,Completions,building-completions,40650,All
E92000001,Year ending 2022-03-31,Completions,building-completions,171200,All
E92000001,2022 Q1,Completions,building-completions,40770,All
E07000198,2022 Q1,Completions,building-completions,0,Housing Association
E07000198,Year ending 2022-03-31,Completions,building-completions,10,Housing Association
E07000198,2022 Q3,Completions,building-completions,10,Housing Association
E07000198,Year ending 2022-09-30,Completions,building-completions,20,Housing Association
E07000198,2022 Q2,Completions,building-completions,10,Housing Association
E07000198,Year ending 2022-06-30,Completions,building-completions,10,Housing Association
E07000198,2022 Q2,Completions,building-completions,0,Local Authority
E07000198,Year ending 2022-09-30,Completions,building-completions,0,Local Authority
E07000198,2022 Q3,Completions,building-completions,0,Local Authority
E07000198,Year ending 2022-06-30,Completions,building-completions,0,Local Authority
E07000198,2022 Q1,Completions,building-completions,0,Local Authority
E07000198,Year ending 2022-03-31,Completions,building-completions,0,Local Authority
E07000198,Year ending 2022-03-31,Completions,building-completions,140,Private Enterprise
E07000198,2022 Q1,Completions,building-completions,30,Private Enterprise
E07000198,Year ending 2022-06-30,Completions,building-completions,160,Private Enterprise
E07000198,2022 Q2,Completions,building-completions,40,Private Enterprise
E07000198,2022 Q3,Completions,building-completions,60,Private Enterprise
E07000198,Year ending 2022-09-30,Completions,building-completions,180,Private Enterprise
E07000198,2022 Q3,Completions,building-completions,70,All
E07000198,Year ending 2022-09-30,Completions,building-completions,190,All
E07000198,Year ending 2022-03-31,Completions,building-completions,150,All
E07000198,2022 Q1,Completions,building-completions,30,All
E07000198,2022 Q2,Completions,building-completions,50,All
E07000198,Year ending 2022-06-30,Completions,building-completions,170,All
E07000193,2022 Q1,Completions,building-completions,0,Housing Association
