V4_3,Data Marking,Lower limit,Upper limit,yyyy-yy,Time,administrative-geography,Geography,measure-of-wellbeing,MeasureOfWellbeing,wellbeing-estimate,Estimate
33.89,,22.49,45.3,2019-20,2019-20,E07000053,Weymouth and Portland,life-satisfaction,Life Satisfaction,very-good,Very good
6.53,,4.16,8.89,2018-19,2018-19,S12000044,North Lanarkshire,life-satisfaction,Life Satisfaction,poor,Poor
,x,,,2012-13,2012-13,E07000201,Forest Heath,life-satisfaction,Life Satisfaction,fair,Fair
,x,,,2014-15,2014-15,E07000053,Weymouth and Portland,life-satisfaction,Life Satisfaction,very-good,Very good
50.18,,45.07,55.29,2019-20,2019-20,S12000044,North Lanarkshire,life-satisfaction,Life Satisfaction,good,Good
52.39,,47.66,57.12,2018-19,2018-19,S12000024,Perth and Kinross,life-satisfaction,Life Satisfaction,good,Good
,x,,,2013-14,2013-14,E07000201,Forest Heath,life-satisfaction,Life Satisfaction,fair,Fair
43.95,,33.54,54.35,2018-19,2018-19,E07000206,Waveney,life-satisfaction,Life Satisfaction,good,Good
,x,,,2015-16,2015-16,E07000205,Suffolk Coastal,life-satisfaction,Life Satisfaction,poor,Poor
,x,,,2013-14,2013-14,E07000052,West Dorset,life-satisfaction,Life Satisfaction,poor,Poor
17.64,,14.77,20.52,2013-14,2013-14,E06000029,Poole,life-satisfaction,Life Satisfaction,fair,Fair
,x,,,2017-18,2017-18,E06000053,Isles of Scilly,life-satisfaction,Life Satisfaction,very-good,Very good
6.22,,4.46,7.97,2011-12,2011-12,E06000028,Bournemouth,life-satisfaction,Life Satisfaction,poor,Poor
51.56,,43.2,59.89,2014-15,2014-15,E07000206,Waveney,life-satisfaction,Life Satisfaction,good,Good
11.04,,10.4,15.38,2014-15,2014-15,S12000024,Perth and Kinross,life-satisfaction,Life Satisfaction,fair,Fair
4.01,,4.33,8.31,2014-15,2014-15,S12000024,Perth and Kinross,life-satisfaction,Life Satisfaction,poor,Poor
